Player,Team,Year,Int,TD,Solo,Ast,Tot,Sack,Stat Type
Lorenzo Burns,ARIZ,2017,5,0,59,22,81,1.0,Defense
Jordan George,AKR,2017,5,0,43,27,70,0.0,Defense
Terrell Carter,MEM,2017,5,0,54,15,69,0.0,Defense
Damon Webb,OSU,2017,5,1,44,17,61,0.0,Defense
David Dowell,MSU,2017,5,0,31,20,51,0.0,Defense
Darious Williams,UAB,2017,5,1,38,12,50,0.0,Defense
Tariq Thompson,SDSU,2017,5,1,47,17,64,0.0,Defense
Devin Abraham,USF,2017,5,0,35,13,48,1.0,Defense
Jawuan Johnson,NIU,2017,5,2,59,39,98,3.0,Defense
Mark McLaurin,MSST,2017,5,0,36,43,79,1.5,Defense
Kyle Queiro,NW,2017,5,1,32,27,59,0.0,Defense
Blace Brown,TROY,2017,5,1,23,10,33,0.0,Defense
Jalen Davis,USU,2017,5,3,24,9,33,4.0,Defense
Amik Robertson,LT,2017,5,1,51,11,62,2.0,Defense
Michael Jackson Sr.,MIA,2017,4,0,34,9,43,1.0,Defense
Jalen Thompson,WSU,2017,4,0,46,27,73,0.0,Defense
Mike Edwards,KY,2017,4,0,53,43,96,1.0,Defense
Juan Thornhill,UVA,2017,4,0,47,16,63,0.5,Defense
Chris Tooley,FAU,2017,4,0,21,13,34,0.0,Defense
Armani Watts,TAMU,2017,4,0,58,29,87,0.5,Defense
Delvon Randall,TEM,2017,4,0,62,18,80,1.0,Defense
Jack Jones,USC,2017,4,0,31,9,40,0.0,Defense
Amani Oruwariye,PSU,2017,4,0,19,9,28,0.0,Defense
Shamad Lomax,NMST,2017,4,1,46,25,71,1.0,Defense
Brad Muhammad,FIU,2017,4,1,42,11,53,0.0,Defense
Kyle Gibson,UCF,2017,4,0,42,22,64,0.0,Defense
Shelton Lewis,FAU,2017,4,0,31,16,47,0.0,Defense
Brenton Nelson,UVA,2017,4,0,35,29,64,0.0,Defense
D.J. Reed,KSST,2017,4,0,41,6,47,0.0,Defense
Mack Wilson,ALA,2017,4,1,21,19,40,0.0,Defense
Kahlil Robinson,TOL,2017,4,0,39,28,67,0.0,Defense
Julian Blackmon,UTAH,2017,4,0,38,10,48,0.0,Defense
Rico Gafford,WYO,2017,4,1,29,14,43,0.0,Defense
Nate Gaines,UTSA,2017,4,0,26,15,41,0.0,Defense
Duke Dawson,FLA,2017,4,1,23,11,34,0.0,Defense
Jaquan Johnson,MIA,2017,4,1,54,42,96,1.0,Defense
Terrell Williams,HOU,2017,4,0,38,28,66,0.0,Defense
T.J. Edwards,WISC,2017,4,1,53,28,81,2.0,Defense
Jaron Bryant,FRES,2017,4,2,50,17,67,0.0,Defense
A.J. Green,OKST,2017,4,0,39,8,47,0.0,Defense
Tae Hayes,APST,2017,4,0,34,19,53,1.5,Defense
Trumaine Washington,LOU,2017,4,1,31,12,43,1.0,Defense
C.J. Henderson,FLA,2017,4,2,14,8,22,0.0,Defense
Dominick Sanders,UGA,2017,4,0,23,17,40,0.0,Defense
Lee Moses,MASS,2017,4,1,23,17,40,0.0,Defense
Marcus Epps,WYO,2017,4,0,42,26,68,1.0,Defense
Mike Hughes,UCF,2017,4,1,37,12,49,0.0,Defense
Darryl Lewis,LT,2017,4,2,30,15,45,0.0,Defense
Garrett Davis,HOU,2017,4,0,38,13,51,0.0,Defense
Justus Parker,TTU,2017,4,0,34,8,42,0.0,Defense
Joe Ferguson,WISC,2017,4,1,10,7,17,0.0,Defense
Jordan Wyatt,SMU,2017,4,2,40,9,49,1.0,Defense
Robert Taylor,WSU,2017,3,0,35,28,63,0.0,Defense
Montre Hartage,NW,2017,3,0,49,8,57,0.0,Defense
J.C. Jackson,MD,2017,3,0,33,7,40,0.0,Defense
Trayvon Mullen,CLEM,2017,3,0,30,10,40,0.0,Defense
Clint Stephens,BGSU,2017,3,0,17,8,25,0.0,Defense
Kindle Vildor,GSU,2017,3,0,16,5,21,1.0,Defense
Alex Briones,CMU,2017,3,0,55,28,83,3.0,Defense
Kyzir White,WVU,2017,3,0,66,28,94,1.0,Defense
Chucky Williams,LOU,2017,3,0,49,31,80,0.0,Defense
Airius Moore,NCST,2017,3,0,30,38,68,0.0,Defense
Demetrius Flannigan-Fowles,ARIZ,2017,3,0,57,24,81,0.0,Defense
Ronnie Harrison,ALA,2017,3,0,43,31,74,2.5,Defense
Jeremy Reaves,USA,2017,3,0,70,33,103,1.0,Defense
Kevin Richardson,ARK,2017,3,0,21,29,50,0.0,Defense
Trevon Mathis,TOL,2017,3,0,20,12,32,0.0,Defense
Derrick Tindal,WISC,2017,3,0,19,9,28,0.0,Defense
Jaden Wright,NMST,2017,3,0,22,10,32,0.0,Defense
Ryan Carter,CLEM,2017,3,1,28,5,33,0.0,Defense
Steven Montac,SCAR,2017,3,0,14,5,19,0.0,Defense
Deatrick Nichols,USF,2017,3,0,44,12,56,0.0,Defense
Joe Bachie,MSU,2017,3,0,46,54,100,2.5,Defense
Donnie Lewis,TULN,2017,3,0,29,7,36,0.0,Defense
Byron Murphy,WASH,2017,3,0,13,3,16,1.0,Defense
Anthony Hawkins,CSU,2017,3,0,26,7,33,0.0,Defense
Ryan Williamson,BUFF,2017,3,0,40,35,75,0.0,Defense
B.J. Edmonds,ARST,2017,3,0,42,38,80,0.0,Defense
Ugo Amadi,ORE,2017,3,0,31,12,43,1.5,Defense
Mazzi Wilkins,USF,2017,3,0,22,10,32,0.5,Defense
Javien Hamilton,MISS,2017,3,0,14,6,20,0.0,Defense
Dallin Leavitt,USU,2017,3,0,47,35,82,0.0,Defense
Ed Hall,IDHO,2017,3,0,40,37,77,0.5,Defense
Jake Gervase,IOWA,2017,3,0,31,27,58,0.0,Defense
Austin Hall,MEM,2017,3,0,66,18,84,1.0,Defense
Jawuan Harris,RUT,2017,3,0,23,14,37,0.0,Defense
Andre Cisco,SYR,2018,7,0,46,14,60,0.0,Defense
Hamp Cheevers,BC,2018,7,1,27,12,39,0.0,Defense
Nate Brooks,UNT,2018,6,0,48,19,67,0.0,Defense
Jaylinn Hawkins,CAL,2018,6,0,25,8,33,0.0,Defense
Richie Grant,UCF,2018,6,0,68,40,108,0.0,Defense
Ky'el Hemby,USM,2018,6,0,38,13,51,0.0,Defense
Wesley Bush,MTSU,2018,6,2,40,30,70,0.5,Defense
Juwan Foggie,CHAR,2018,6,2,34,34,68,1.0,Defense
Grant Delpit,LSU,2018,5,0,46,28,74,5.0,Defense
Jevon Holland,ORE,2018,5,0,31,11,42,0.0,Defense
Tre Watson,MD,2018,5,1,70,44,114,1.0,Defense
Adrian Frye,TTU,2018,5,1,17,4,21,0.0,Defense
Kemon Hall,UNT,2018,5,2,39,9,48,0.0,Defense
Cedarius Rookard,TROY,2018,5,0,32,40,72,0.0,Defense
Juan Thornhill,UVA,2018,5,0,62,36,98,0.0,Defense
Joejuan Williams,VAN,2018,4,0,48,13,61,0.0,Defense
Jerry Jacobs,ARST,2018,4,0,25,7,32,0.0,Defense
Rashad Smith,FAU,2018,4,0,34,49,83,1.0,Defense
Stanford Samuels III,FSU,2018,4,0,37,21,58,0.0,Defense
Geno Stone,IOWA,2018,4,1,29,10,39,0.0,Defense
J.R. Pace,NW,2018,4,0,51,31,82,0.0,Defense
Amik Robertson,LT,2018,4,0,44,17,61,1.0,Defense
Josh Thomas,APST,2018,4,0,31,12,43,0.0,Defense
Darnell Savage Jr.,MD,2018,4,1,38,14,52,0.0,Defense
Javin White,UNLV,2018,4,0,40,34,74,2.0,Defense
DJ Williams,USU,2018,4,0,33,9,42,1.0,Defense
Caden Sterns,TEX,2018,4,0,46,16,62,1.0,Defense
Cooper Edmiston,TULS,2018,4,0,47,66,113,0.5,Defense
Cassius Grady,UTSA,2018,4,0,36,9,45,0.0,Defense
Del'Shawn Phillips,ILL,2018,4,0,45,50,95,1.5,Defense
Kindle Vildor,GSU,2018,4,0,31,11,42,0.0,Defense
Paulson Adebo,STAN,2018,4,0,44,19,63,0.0,Defense
Jake Gervase,IOWA,2018,4,0,49,40,89,0.0,Defense
Khairi Muhammad,UNT,2018,4,0,43,24,67,0.0,Defense
Delvon Randall,TEM,2018,4,1,62,23,85,0.0,Defense
Kenny Robinson,WVU,2018,4,0,52,25,77,0.0,Defense
Ashtyn Davis,CAL,2018,4,1,37,18,55,0.0,Defense
Amani Hooker,IOWA,2018,4,0,36,29,65,1.0,Defense
Juju Hughes,FRES,2018,4,0,40,38,78,0.0,Defense
Jalen Elliott,ND,2018,4,0,36,31,67,0.5,Defense
Prudy Calderon,RICE,2018,4,0,28,10,38,0.0,Defense
Byron Murphy,WASH,2018,4,1,37,21,58,0.0,Defense
James Wiggins,CINN,2018,4,1,36,18,54,0.0,Defense
Dakari Monroe,SJSU,2018,4,1,32,24,56,0.0,Defense
Aaron Wade,USU,2018,4,1,28,22,50,0.0,Defense
Tae Hayes,APST,2018,4,0,31,13,44,0.0,Defense
Chauncey Gardner-Johnson,FLA,2018,4,2,37,34,71,3.0,Defense
Desmond Franklin,APST,2018,4,1,30,21,51,0.0,Defense
Reed Blankenship,MTSU,2018,4,1,71,36,107,1.0,Defense
Vaughnte Dorsey,TTU,2018,4,0,39,16,55,0.5,Defense
Alvin Davis,AKR,2018,4,2,43,32,75,0.0,Defense
Anthoula Kelly,FRES,2018,4,2,47,13,60,0.0,Defense
Christopher Fredrick,SYR,2018,3,0,37,18,55,0.0,Defense
Amani Oruwariye,PSU,2018,3,0,40,11,51,0.0,Defense
V.J. Banks,CSU,2018,3,0,18,9,27,0.0,Defense
Linwood Crump,TEM,2018,3,0,12,1,13,0.0,Defense
Jeremy Fejedelem,AF,2018,3,0,54,50,104,1.0,Defense
Nate Hall,NW,2018,3,0,32,19,51,0.0,Defense
Braxton Lewis,IAST,2018,3,0,40,30,70,1.0,Defense
Jartavius Martin,ILL,2018,3,0,25,17,42,0.0,Defense
Ryan Pulley,ARK,2018,3,0,30,7,37,1.0,Defense
Mike Reynolds,ARMY,2018,3,0,10,4,14,0.0,Defense
Mike Bell,FRES,2018,3,0,53,34,87,0.5,Defense
Cam Hilton,MIZZ,2018,3,0,26,5,31,1.0,Defense
Saquan Hampton,RUT,2018,3,0,45,20,65,0.0,Defense
Jarid Ryan,NAVY,2018,3,0,24,10,34,0.0,Defense
Benny Walls,TEM,2018,3,0,23,23,46,1.0,Defense
Bryant Fitzgerald,IND,2018,3,0,24,7,31,0.0,Defense
Richard Dames,FIU,2018,3,0,29,16,45,0.0,Defense
Kenneth Major,PUR,2018,3,0,42,13,55,0.0,Defense
Shaun Wade,OSU,2018,3,0,27,4,31,0.0,Defense
Trajan Bandy,MIA,2018,3,0,25,11,36,0.0,Defense
Brad Koenig,MIOH,2018,3,0,62,40,102,5.0,Defense
Lee Moses,MASS,2018,3,0,32,22,54,0.0,Defense
Dorian Hall,FIU,2018,3,0,26,20,46,1.0,Defense
Deommodore Lenoir,ORE,2018,3,0,38,14,52,0.0,Defense
Sheldrick Redwine,MIA,2018,3,0,35,29,64,3.0,Defense
Frank Coppet,VAN,2018,3,0,24,6,30,0.0,Defense
Kekaula Kaniho,BSU,2018,3,0,27,13,40,1.0,Defense
Rashad Fenton,SCAR,2018,3,0,25,9,34,0.0,Defense
Nick Scott,PSU,2018,3,0,35,30,65,1.0,Defense
Parnell Motley,OKLA,2018,3,0,42,21,63,0.0,Defense
Isaac Steele,LIB,2018,3,0,44,21,65,0.0,Defense
Brandon Williams,BUFF,2018,3,0,49,15,64,0.0,Defense
Marcus Milton,BGSU,2018,3,0,34,12,46,1.0,Defense
Chase Lucas,AZST,2018,3,0,49,13,62,2.0,Defense
Traveon Beck,CAL,2018,3,0,26,6,32,0.0,Defense
Dameon Baber,NEV,2018,3,0,36,24,60,0.0,Defense
John Battle,LSU,2018,3,0,13,26,39,0.0,Defense
Duke Shelley,KSST,2018,3,0,32,1,33,0.0,Defense
T.J. Edwards,WISC,2018,3,0,73,39,112,3.0,Defense
Darnay Holmes,UCLA,2018,3,1,36,12,48,0.0,Defense
Ta'Corian Darden,WKU,2018,3,0,42,29,71,0.0,Defense
Kevin McGill,EMU,2018,3,0,24,14,38,0.0,Defense
RaVon Davis,MD,2018,3,1,21,10,31,0.0,Defense
Cameron Lewis,BUFF,2018,3,0,23,9,32,0.0,Defense
Michael Ojemudia,IOWA,2018,3,0,23,16,39,0.0,Defense
L'Jarius Sneed,LT,2018,3,1,44,15,59,1.5,Defense
Bryce Thompson,TENN,2018,3,0,24,10,34,1.0,Defense
Jhavonte Dean,MIA,2018,3,0,5,12,17,0.0,Defense
Rahim Moore,UCLA,2009,10,0,36,13,49,0.0,Defense
Earl Thomas,TEX,2009,8,2,46,19,65,0.0,Defense
DeAndre McDaniel,CLEM,2009,8,1,58,40,98,2.0,Defense
Brian Lainhart,KENT,2009,7,0,52,35,87,0.0,Defense
Marcus Udell,MTSU,2009,7,0,15,8,23,0.0,Defense
Mark Barron,ALA,2009,7,1,43,33,76,0.5,Defense
Anthony Wright,AF,2009,7,2,38,16,54,0.0,Defense
Mana Silva,HAW,2009,6,0,47,27,74,0.0,Defense
Blake Gideon,TEX,2009,6,0,34,15,49,0.0,Defense
Gerald Moore,OHIO,2009,6,0,32,36,68,0.5,Defense
Rashard Hall,CLEM,2009,6,0,24,31,55,0.0,Defense
Brandyn Thompson,BSU,2009,6,1,29,16,45,0.0,Defense
Rashad Carmichael,VT,2009,6,1,31,24,55,1.0,Defense
Josh Robinson,UCF,2009,6,1,59,10,69,0.0,Defense
Sam Maxwell,KY,2009,6,1,42,38,80,1.5,Defense
Matt O'Hanlon,NEB,2009,6,1,39,30,69,2.0,Defense
Deunta Williams,UNC,2009,6,0,34,13,47,0.0,Defense
Corey Broomfield,MSST,2009,6,2,13,6,19,0.0,Defense
Van Eskridge,ECU,2009,6,0,45,57,102,0.0,Defense
Chris May,EMU,2009,6,0,41,23,64,0.0,Defense
Robert Johnson,UTAH,2009,6,1,36,34,70,0.0,Defense
Walter McFadden,AUB,2009,6,2,36,10,46,0.0,Defense
Tyler Sash,IOWA,2009,6,1,41,44,85,0.0,Defense
Sherrick McManis,NW,2009,5,0,27,10,37,0.0,Defense
Robert Sands,WVU,2009,5,0,37,28,65,0.0,Defense
Chris Thomas,AF,2009,5,0,39,18,57,0.0,Defense
Javier Arenas,ALA,2009,5,0,47,24,71,5.0,Defense
Patrick Lavine,OKST,2009,5,1,53,26,79,2.5,Defense
A.J. Edds,IOWA,2009,5,0,25,52,77,0.0,Defense
Trevin Wade,ARIZ,2009,5,1,53,18,71,0.0,Defense
Jamal Robinson,HOU,2009,5,1,38,20,58,0.0,Defense
Robert Vaughn,CONN,2009,5,1,31,32,63,0.0,Defense
Ross Homan,OSU,2009,5,0,57,51,108,2.0,Defense
Tysyn Hartman,KSST,2009,5,0,34,20,54,0.0,Defense
Eddie Hicks,USM,2009,5,0,36,28,64,0.0,Defense
Prince Amukamara,NEB,2009,5,0,41,23,64,2.0,Defense
Jamail Berry,WMU,2009,5,0,37,21,58,0.0,Defense
Braxton Amy,UTEP,2009,5,0,19,33,52,0.0,Defense
David Sims,IAST,2009,5,0,44,44,88,0.0,Defense
Rock Dennis,SMU,2009,5,1,39,23,62,1.0,Defense
Kyle McCarthy,ND,2009,5,0,66,35,101,0.0,Defense
Kurt Coleman,OSU,2009,5,1,37,31,68,1.0,Defense
Leon Wright,DUKE,2009,5,2,36,22,58,0.0,Defense
Alterraun Verner,UCLA,2009,5,1,51,21,72,0.0,Defense
Kendric Burney,UNC,2009,5,2,37,15,52,1.0,Defense
Chris Maragos,WISC,2009,4,0,36,13,49,1.0,Defense
Akeem Ayers,UCLA,2009,4,2,55,20,75,6.0,Defense
Perrish Cox,OKST,2009,4,0,33,3,36,0.0,Defense
Roger Williams,BGSU,2009,4,0,51,25,76,0.0,Defense
Dan Hartman,KENT,2009,4,0,48,24,72,0.0,Defense
Joe Haden,FLA,2009,4,0,53,15,68,3.0,Defense
Sean Baker,BALL,2009,4,0,32,29,61,0.0,Defense
Robert McClain III,CONN,2009,4,0,48,16,64,1.0,Defense
Quinton Carter,OKLA,2009,4,0,51,37,88,0.0,Defense
Brian Jackson,OKLA,2009,4,0,35,12,47,0.0,Defense
Cameron Chism,MD,2009,4,0,43,23,66,0.0,Defense
Jeron Johnson,BSU,2009,4,0,54,37,91,0.0,Defense
Bryan Willis,TROY,2009,4,0,57,14,71,0.0,Defense
Morgan Burnett,GT,2009,4,0,48,37,85,0.0,Defense
Donovan Warren,MICH,2009,4,1,43,23,66,0.0,Defense
DeJon Gomes,NEB,2009,4,0,26,20,46,0.0,Defense
Myron Lewis,VAN,2009,4,0,26,15,41,0.0,Defense
Jamie Robinson,FSU,2009,4,1,52,22,74,1.0,Defense
Ochuko Jenije,FSU,2009,4,0,26,5,31,0.0,Defense
Nate Allen,USF,2009,4,0,40,45,85,0.0,Defense
Scott Johnson,BYU,2009,4,0,47,24,71,0.0,Defense
Jerome Murphy,USF,2009,4,0,49,28,77,0.0,Defense
Will Harris,USC,2009,4,1,37,32,69,0.0,Defense
Chris Cook,UVA,2009,4,1,34,6,40,0.0,Defense
Kelcie McCray,ARST,2009,4,0,36,22,58,0.0,Defense
Wyatt Middleton,NAVY,2009,4,0,34,34,68,0.0,Defense
Talmadge Jackson III,ORE,2009,4,1,40,10,50,0.0,Defense
Kevin Brown,MTSU,2009,4,0,38,25,63,0.0,Defense
John Destin,TULS,2009,4,0,30,14,44,0.0,Defense
Greg James,ULM,2009,4,0,56,17,73,0.0,Defense
Reshad Jones,UGA,2009,4,0,44,29,73,0.0,Defense
Andrew Rich,BYU,2009,4,0,51,34,85,1.0,Defense
Deon Young,LT,2009,4,2,30,18,48,0.0,Defense
Brandon Brinkley,HOU,2009,4,1,50,25,75,0.0,Defense
Donovan Travis,ARMY,2009,4,1,45,26,71,0.0,Defense
Austin Thomas,IND,2009,4,0,45,22,67,0.0,Defense
Charles Mitchell,MSST,2009,4,1,39,25,64,0.0,Defense
Aaron Webster,CINN,2009,4,0,41,28,69,0.0,Defense
Johnthan Banks,MSST,2009,4,2,20,13,33,0.0,Defense
Nick Oppenneer,CSU,2009,4,1,39,24,63,0.0,Defense
Dom DeCicco,PITT,2009,3,0,58,30,88,0.0,Defense
Terrance Anderson,OKST,2009,3,0,30,5,35,0.0,Defense
DeQuan Bembry,MRSH,2009,3,0,33,20,53,1.0,Defense
Lametrius Davis,HAW,2009,3,0,34,7,41,0.0,Defense
Jaiquawn Jarrett,TEM,2009,3,0,46,30,76,0.0,Defense
Douglas Westbrook,TOL,2009,3,0,14,10,24,2.0,Defense
Aaron Williams,TEX,2009,3,0,26,10,36,2.0,Defense
A.J. Jones,FLA,2009,3,0,16,21,37,3.0,Defense
T'Sharvan Bell,AUB,2009,3,0,8,1,9,0.0,Defense
Brandon Boykin,UGA,2009,3,0,40,14,54,0.0,Defense
Josh Gordy,CMU,2009,3,0,28,15,43,0.0,Defense
Shamiel Gary,WYO,2009,3,0,45,53,98,0.0,Defense
Tashaun Gipson,WYO,2009,3,0,42,17,59,0.0,Defense
Cory Hanson,NIU,2009,3,0,40,43,83,1.0,Defense
Weston Johnson,WYO,2009,3,0,46,60,106,2.5,Defense
Jayron Hosley,VT,2010,9,0,34,5,39,0.0,Defense
Mana Silva,HAW,2010,8,0,52,33,85,1.0,Defense
Robert Lester,ALA,2010,8,0,29,23,52,1.0,Defense
Harrison Smith,ND,2010,7,0,55,36,91,0.0,Defense
Casey Hayward,VAN,2010,6,0,56,14,70,0.0,Defense
Domonic Cook,BUFF,2010,6,0,38,20,58,0.0,Defense
Keith Tandy,WVU,2010,6,0,38,19,57,0.0,Defense
Sean Baker,BALL,2010,6,0,52,36,88,1.0,Defense
Dayonne Nunley,MIOH,2010,6,1,32,19,51,0.0,Defense
Dexter McCoil,TULS,2010,6,0,35,21,56,0.0,Defense
Chase Minnifield,UVA,2010,6,0,34,14,48,0.5,Defense
Demarco Nelson,TULS,2010,6,1,59,27,86,0.0,Defense
Cliff Harris,ORE,2010,6,1,24,9,33,0.0,Defense
Evan Harris,MIOH,2010,6,1,48,46,94,2.0,Defense
Nate Fellner,WASH,2010,5,0,52,27,79,0.0,Defense
Delano Howell,STAN,2010,5,0,46,14,60,1.0,Defense
Jarred Holley,PITT,2010,5,0,41,13,54,0.0,Defense
Brett Greenwood,IOWA,2010,5,0,29,32,61,0.0,Defense
Norman Wolfe,KENT,2010,5,0,52,23,75,0.0,Defense
Lewis Toler,WMU,2010,5,1,36,23,59,0.0,Defense
Will Chandler,UNLV,2010,5,1,24,13,37,0.0,Defense
Dom DeCicco,PITT,2010,5,0,67,27,94,0.0,Defense
Eric Hagg,NEB,2010,5,0,41,8,49,1.0,Defense
Mario Armstrong,WMU,2010,5,0,30,48,78,0.0,Defense
Donnie Fletcher,BC,2010,5,0,43,13,56,0.0,Defense
John Boyett,ORE,2010,5,1,52,26,78,0.0,Defense
Jamell Fleming,OKLA,2010,5,1,49,22,71,1.0,Defense
Andrew Rich,BYU,2010,5,0,63,47,110,1.0,Defense
Prentiss Waggner,TENN,2010,5,3,38,19,57,0.0,Defense
Reggie Weams,UCF,2010,5,0,28,11,39,0.0,Defense
Donovan Fletcher,OHIO,2010,5,1,40,33,73,0.0,Defense
Andrew McGee,OKST,2010,5,0,41,10,51,0.0,Defense
Johnny Patrick,LOU,2010,5,1,43,6,49,1.0,Defense
Morris Claiborne,LSU,2010,5,0,19,18,37,0.0,Defense
Janzen Jackson,TENN,2010,5,0,40,29,69,1.0,Defense
Donovan Travis,ARMY,2010,5,0,34,26,60,0.0,Defense
Davon Morgan,VT,2010,5,0,53,29,82,0.0,Defense
Ahmad Black,FLA,2010,5,1,73,35,108,1.0,Defense
James Dockery,ORST,2010,4,0,41,15,56,0.0,Defense
Adrian Moten,MD,2010,4,0,31,46,77,2.5,Defense
Richard Crawford,SMU,2010,4,0,42,17,59,0.0,Defense
Jason Pinkston,BALL,2010,4,0,40,21,61,0.0,Defense
Mike Harris,FSU,2010,4,0,33,8,41,0.0,Defense
Brian Blechen,UTAH,2010,4,0,37,30,67,1.5,Defense
Mark Herzlich,BC,2010,4,0,50,15,65,0.0,Defense
Corey Paredes,HAW,2010,4,0,88,63,151,0.0,Defense
Justin Wilson,USM,2010,4,0,26,15,41,0.0,Defense
Trenton Robinson,MSU,2010,4,0,35,41,76,0.0,Defense
Tramain Thomas,ARK,2010,4,0,48,35,83,0.5,Defense
Jake Knott,IAST,2010,4,0,76,54,130,1.0,Defense
Alfonzo Dennard,NEB,2010,4,1,18,12,30,0.0,Defense
Coryell Judie,TAMU,2010,4,0,29,28,57,0.0,Defense
DeAndre McDaniel,CLEM,2010,4,0,44,32,76,0.0,Defense
Nickell Robey,USC,2010,4,1,32,16,48,0.0,Defense
Richard King,ARMY,2010,4,0,16,7,23,0.0,Defense
Quinton Carter,OKLA,2010,4,0,59,37,96,0.0,Defense
Davonte Shannon,BUFF,2010,4,0,65,55,120,0.0,Defense
Richard Sherman,STAN,2010,4,0,40,10,50,0.0,Defense
Xavier Rhodes,FSU,2010,4,0,49,9,58,2.0,Defense
Antonio Fenelus,WISC,2010,4,1,43,13,56,0.0,Defense
Tyrone Clark,NIU,2010,4,1,37,40,77,1.5,Defense
Da'Norris Searcy,UNC,2010,4,1,22,15,37,0.0,Defense
Brandan Bishop,NCST,2010,4,0,32,34,66,0.0,Defense
Bradley Jacobs,ECU,2010,4,0,46,34,80,0.0,Defense
Chad Boyd,LT,2010,4,0,38,42,80,0.0,Defense
Jerome Junior,CONN,2010,4,1,43,16,59,0.0,Defense
Jim Noel,BC,2010,4,1,27,9,36,0.0,Defense
Shaun Prater,IOWA,2010,4,1,50,18,68,0.0,Defense
Rashad Carmichael,VT,2010,4,1,31,9,40,0.0,Defense
Jeramy Bryant,HAW,2010,4,1,38,13,51,0.0,Defense
Jarvis Phillips,TTU,2010,4,1,45,12,57,0.0,Defense
Dustin Harris,TAMU,2010,4,1,30,13,43,0.0,Defense
Curnelius Arnick,TULS,2010,4,1,67,49,116,5.0,Defense
Patrick Peterson,LSU,2010,4,0,29,13,42,0.0,Defense
Travaun Nixon,UTEP,2010,4,0,44,31,75,0.0,Defense
Micah Hyde,IOWA,2010,4,2,58,24,82,0.0,Defense
Blidi Wreh-Wilson,CONN,2010,4,2,48,9,57,0.0,Defense
Winston Guy,KY,2010,3,0,56,50,106,0.0,Defense
Jimmie Anderson,TROY,2010,3,0,23,5,28,0.0,Defense
Orkeys Auriene,ULL,2010,3,0,21,18,39,0.0,Defense
Jalil Brown,COL,2010,3,0,36,7,43,0.0,Defense
Quinton Byrd,USU,2010,3,0,22,9,31,0.0,Defense
Aaron Hester,UCLA,2010,3,0,21,5,26,0.0,Defense
Lionel Stokes,ULL,2010,3,0,39,20,59,0.0,Defense
Vaughn Telemaque,MIA,2010,3,0,32,26,58,0.0,Defense
Nickoe Whitley,MSST,2010,3,0,34,18,52,1.5,Defense
Anthony Holmes,AKR,2010,3,0,30,19,49,1.0,Defense
Demond Washington,AUB,2010,3,0,47,8,55,1.0,Defense
Phillip Davis,TULN,2010,3,0,20,9,29,0.0,Defense
Ryan Hill,MIA,2010,3,0,29,22,51,0.0,Defense
Donald Brown,MRSH,2010,3,0,37,38,75,1.0,Defense
Mark Barron,ALA,2010,3,0,54,21,75,2.0,Defense
Rajric Coleman,USU,2010,3,0,32,23,55,0.0,Defense
Jonathan Bostic,FLA,2010,3,0,36,21,57,1.5,Defense
Pat Hinkel,MIOH,2010,3,0,43,29,72,0.5,Defense
Antwine Perez,MD,2010,3,0,47,27,74,1.0,Defense
Mike Rallis,MINN,2010,3,0,23,14,37,0.0,Defense
Ross Cockrell,DUKE,2010,3,0,37,23,60,0.0,Defense
Casey Matthews,ORE,2010,3,0,37,42,79,3.0,Defense
Hilton Dawson III,OHIO,2010,3,0,13,17,30,2.0,Defense
David Amerson,NCST,2011,12,2,41,18,59,0.0,Defense
Bacarri Rambo,UGA,2011,8,1,34,21,55,0.0,Defense
Larry Parker,SDSU,2011,7,0,49,16,65,0.0,Defense
Nigel Malone,KSST,2011,7,1,46,12,58,0.0,Defense
Casey Hayward,VAN,2011,7,1,46,16,62,0.0,Defense
Donyae Coleman,NMST,2011,6,0,70,63,133,0.0,Defense
Bryce Callahan,RICE,2011,6,0,26,8,34,0.5,Defense
Phillip Thomas,SYR,2011,6,0,54,28,82,0.0,Defense
Phillip Steward,HOU,2011,6,0,32,45,77,1.5,Defense
Josh Bush,WF,2011,6,0,41,18,59,0.0,Defense
Dexter McCoil,TULS,2011,6,1,48,36,84,0.0,Defense
Morris Claiborne,LSU,2011,6,1,32,19,51,0.0,Defense
Brodrick Brown,OKST,2011,5,0,59,9,68,0.0,Defense
Brian Peters,NW,2011,5,0,49,43,92,1.0,Defense
Isaiah Frey,NEV,2011,5,0,25,12,37,0.0,Defense
Brandan Bishop,NCST,2011,5,0,44,45,89,0.0,Defense
Justin Gilbert,OKST,2011,5,0,48,11,59,0.0,Defense
Tramain Thomas,ARK,2011,5,0,44,47,91,0.0,Defense
Duron Harmon,RUT,2011,5,1,33,16,49,0.0,Defense
Darryl Feemster,ARST,2011,5,0,35,7,42,0.0,Defense
Derrius Brooks,WKU,2011,4,0,33,15,48,0.0,Defense
Quandre Diggs,TEX,2011,4,0,32,16,48,0.0,Defense
Quinn Giles,LT,2011,4,0,15,19,34,0.0,Defense
Shelton Johnson,WISC,2011,4,0,23,31,54,0.0,Defense
Antonio Fenelus,WISC,2011,4,0,33,18,51,0.0,Defense
Rodney McLeod,UVA,2011,4,0,34,23,57,0.0,Defense
Tony Jefferson,OKLA,2011,4,0,52,22,74,4.5,Defense
Travaun Nixon,UTEP,2011,4,0,31,19,50,0.0,Defense
Darius Prelow,ULM,2011,4,0,44,33,77,1.0,Defense
