Player,Team,Year,Rec,Yds,Avg,TD,Stat Type
Luke Timian,IND,2017,68,589,8.66,2,Receiving
Courtland Sutton,SMU,2017,68,"1,085",15.96,12,Receiving
Wyatt Demps,NEV,2017,67,908,13.55,11,Receiving
Kyle Williams,AZST,2017,66,763,11.56,7,Receiving
T.J. Rahming,DUKE,2017,65,795,12.23,2,Receiving
Andy Isabella,MASS,2017,65,"1,020",15.69,10,Receiving
J'Mon Moore,MIZZ,2017,65,"1,082",16.65,10,Receiving
Adam Breneman,MASS,2017,64,764,11.94,4,Receiving
Bryan Edwards,SCAR,2017,64,793,12.39,5,Receiving
Alfonso Onunwor,IDHO,2017,64,856,13.38,8,Receiving
Jakobi Meyers,NCST,2017,63,727,11.54,5,Receiving
Scott Miller,BGSU,2017,63,727,11.54,4,Receiving
Dante Pettis,WASH,2017,63,761,12.08,7,Receiving
Calvin Ridley,ALA,2017,63,967,15.35,5,Receiving
Bryce Bobo,COL,2017,62,693,11.18,5,Receiving
Michael Lawrence,UNT,2017,62,819,13.21,4,Receiving
Tyre Brady,MRSH,2017,62,942,15.19,8,Receiving
Mark Andrews,OKLA,2017,62,958,15.45,8,Receiving
Austin Conway,WYO,2017,61,549,9.0,3,Receiving
Kahlil Lewis,CINN,2017,61,676,11.08,7,Receiving
Vic Wharton,CAL,2017,61,785,12.87,5,Receiving
Stanley Morgan Jr.,NEB,2017,61,986,16.16,10,Receiving
Ka'Raun White,WVU,2017,61,"1,004",16.46,12,Receiving
Denzel Mims,BAY,2017,61,"1,087",17.82,8,Receiving
Jamal Morrow,WSU,2017,60,506,8.43,5,Receiving
Isaiah Johnson-Mack,WSU,2017,60,555,9.25,5,Receiving
Hunter Renfrow,CLEM,2017,60,602,10.03,3,Receiving
Darren Andrews,UCLA,2017,60,774,12.9,10,Receiving
David Sills V,WVU,2017,60,980,16.33,18,Receiving
Jaylen Smith,LOU,2017,60,980,16.33,7,Receiving
Trevon Brown,ECU,2017,60,"1,069",17.82,7,Receiving
Cameron Batson,TTU,2017,59,487,8.25,5,Receiving
Jacob Sannon,IDHO,2017,59,608,10.31,1,Receiving
Steven Sims Jr.,KAN,2017,59,839,14.22,6,Receiving
Mark Chapman,CMU,2017,59,875,14.83,5,Receiving
Davon Grayson,ECU,2017,59,886,15.02,6,Receiving
Thomas Owens,FIU,2017,59,887,15.03,6,Receiving
Marcell Ateman,OKST,2017,59,"1,156",19.59,8,Receiving
Tre'Quan Smith,UCF,2017,59,"1,171",19.85,13,Receiving
Kyle Sweet,WSU,2017,58,533,9.19,2,Receiving
Deon Cain,CLEM,2017,58,734,12.66,6,Receiving
Mike Gesicki,PSU,2017,57,563,9.88,9,Receiving
Da'Mari Scott,FRES,2017,57,566,9.93,1,Receiving
McLane Mannix,NEV,2017,57,778,13.65,6,Receiving
Tyler Vaughns,USC,2017,57,809,14.19,5,Receiving
Marquise Brown,OKLA,2017,57,"1,095",19.21,7,Receiving
K.J. Hill,OSU,2017,56,549,9.8,3,Receiving
Theo Howard,UCLA,2017,56,594,10.61,4,Receiving
Dylan Collie,HAW,2017,56,636,11.36,4,Receiving
Willie Wright,FAU,2017,56,657,11.73,6,Receiving
Kanawai Noa,CAL,2017,56,788,14.07,4,Receiving
Larry Rose III,NMST,2017,55,522,9.49,2,Receiving
Felton Davis III,MSU,2017,55,776,14.11,9,Receiving
Justin Hobbs,TULS,2017,55,830,15.09,3,Receiving
JD Spielman,NEB,2017,55,830,15.09,2,Receiving
Ryan Yurachek,MRSH,2017,54,490,9.07,10,Receiving
Saquon Barkley,PSU,2017,54,632,11.7,3,Receiving
Braxton Berrios,MIA,2017,54,670,12.41,9,Receiving
Andre Wilson,UAB,2017,54,677,12.54,6,Receiving
Juwan Johnson,PSU,2017,54,701,12.98,1,Receiving
Collin Johnson,TEX,2017,54,765,14.17,2,Receiving
Marcus Green,ULM,2017,54,812,15.04,5,Receiving
Rondale Moore,PUR,2018,114,"1,258",11.04,12,Receiving
Andy Isabella,MASS,2018,102,"1,698",16.65,13,Receiving
Preston Williams,CSU,2018,96,"1,345",14.01,14,Receiving
KeeSean Johnson,FRES,2018,95,"1,340",14.11,8,Receiving
Olamide Zaccheaus,UVA,2018,94,"1,073",11.41,9,Receiving
James Proche,SMU,2018,93,"1,199",12.89,12,Receiving
Jakobi Meyers,NCST,2018,92,"1,047",11.38,4,Receiving
Parris Campbell,OSU,2018,89,985,11.07,11,Receiving
Greg Dortch,WF,2018,89,"1,078",12.11,8,Receiving
John Ursua,HAW,2018,89,"1,343",15.09,16,Receiving
Antoine Wesley,TTU,2018,88,"1,410",16.02,9,Receiving
Kalija Lipscomb,VAN,2018,87,916,10.53,9,Receiving
Laviska Shenault Jr.,COL,2018,86,"1,011",11.76,6,Receiving
Lil'Jordan Humphrey,TEX,2018,86,"1,176",13.67,9,Receiving
Tylan Wallace,OKST,2018,86,"1,491",17.34,12,Receiving
A.J. Brown,MISS,2018,85,"1,320",15.53,6,Receiving
James Williams,WSU,2018,83,613,7.39,4,Receiving
Kirk Merritt,ARST,2018,83,"1,005",12.11,7,Receiving
Kelvin Harmon,NCST,2018,81,"1,186",14.64,7,Receiving
Cedric Byrd,HAW,2018,79,970,12.28,9,Receiving
Tyler Johnson,MINN,2018,78,"1,169",14.99,12,Receiving
T.J. Rahming,DUKE,2018,75,811,10.81,8,Receiving
Marquez Stevenson,HOU,2018,75,"1,019",13.59,9,Receiving
Adrian Hardy,LT,2018,75,"1,145",15.27,6,Receiving
Dillon Mitchell,ORE,2018,75,"1,184",15.79,10,Receiving
Marquise Brown,OKLA,2018,75,"1,318",17.57,10,Receiving
Jonathan Duhart,ODU,2018,74,"1,045",14.12,9,Receiving
Trevon Brown,ECU,2018,74,"1,123",15.18,9,Receiving
N'Keal Harry,AZST,2018,73,"1,088",14.9,9,Receiving
Quez Watkins,USM,2018,72,889,12.35,9,Receiving
Jalen Reagor,TCU,2018,72,"1,061",14.74,9,Receiving
Damonte Coxie,MEM,2018,72,"1,174",16.31,7,Receiving
Ty Lee,MTSU,2018,71,883,12.44,7,Receiving
Tyre Brady,MRSH,2018,71,"1,002",14.11,9,Receiving
Antonio Gandy-Golden,LIB,2018,71,"1,037",14.61,10,Receiving
Scott Miller,BGSU,2018,71,"1,148",16.17,9,Receiving
Teddy Veal,LT,2018,70,716,10.23,1,Receiving
Kaleb Fossum,NEV,2018,70,734,10.49,1,Receiving
Ryan Davis,AUB,2018,69,546,7.91,1,Receiving
Justin Hall,BALL,2018,69,622,9.01,0,Receiving
Davontavean Martin,WSU,2018,69,685,9.93,8,Receiving
Jalen Hurd,BAY,2018,69,946,13.71,4,Receiving
Flynn Nagel,NW,2018,68,780,11.47,2,Receiving
K.J. Hill,OSU,2018,68,865,12.72,6,Receiving
Sean Modster,BSU,2018,68,978,14.38,8,Receiving
Collin Johnson,TEX,2018,68,985,14.49,7,Receiving
Rico Bussey Jr.,UNT,2018,68,"1,017",14.96,12,Receiving
Jerry Jeudy,ALA,2018,68,"1,315",19.34,14,Receiving
Lynn Bowden Jr.,KY,2018,67,745,11.12,5,Receiving
Ron'Quavion Tarver,USU,2018,66,709,10.74,8,Receiving
Jovon Durante,FAU,2018,65,873,13.43,5,Receiving
DaMarkus Lodge,MISS,2018,65,877,13.49,4,Receiving
David Sills V,WVU,2018,65,986,15.17,15,Receiving
CeeDee Lamb,OKLA,2018,65,"1,158",17.82,11,Receiving
Shun Brown,ARIZ,2018,64,655,10.23,6,Receiving
Sean Riley,SYR,2018,64,756,11.81,3,Receiving
Stanley Morgan Jr.,NEB,2018,63,922,14.63,5,Receiving
JJ Arcega-Whiteside,STAN,2018,63,"1,059",16.81,14,Receiving
Travis Fulgham,ODU,2018,63,"1,083",17.19,9,Receiving
Austin Trammell,RICE,2018,62,632,10.19,3,Receiving
Ja'Deion High,TTU,2018,62,804,12.97,4,Receiving
Deebo Samuel,SCAR,2018,62,882,14.23,11,Receiving
Papi White,OHIO,2018,62,987,15.92,9,Receiving
JD Spielman,NEB,2018,61,746,12.23,8,Receiving
Justin McInnis,ARST,2018,61,748,12.26,5,Receiving
Dezmon Patmon,WSU,2018,61,816,13.38,5,Receiving
Jamarius Way,USA,2018,61,855,14.02,8,Receiving
Riley Miller,BALL,2018,61,878,14.39,7,Receiving
Britain Covey,UTAH,2018,60,637,10.62,1,Receiving
Trenton Irwin,STAN,2018,60,685,11.42,2,Receiving
Amon-Ra St. Brown,USC,2018,60,750,12.5,3,Receiving
Blake Banham,EMU,2018,60,758,12.63,5,Receiving
Caleb Wilson,UCLA,2018,60,965,16.08,4,Receiving
Hakeem Butler,IAST,2018,60,"1,318",21.97,9,Receiving
Tyre McCants,USF,2018,59,622,10.54,3,Receiving
Johnathan Boone,NMST,2018,59,715,12.12,3,Receiving
Johnathon Johnson,MIZZ,2018,59,737,12.49,5,Receiving
Miles Boykin,ND,2018,59,872,14.78,8,Receiving
Isaiah Hodgins,ORST,2018,59,876,14.85,5,Receiving
Tee Higgins,CLEM,2018,59,936,15.86,12,Receiving
Greg Campbell Jr.,UTSA,2018,58,658,11.34,2,Receiving
Timmy Hernandez,ORST,2018,58,661,11.4,3,Receiving
Tyler Vaughns,USC,2018,58,674,11.62,6,Receiving
Aaron Fuller,WASH,2018,58,874,15.07,4,Receiving
Cameron Green,NW,2018,57,483,8.47,4,Receiving
D.J. Brown,NIU,2018,57,496,8.7,5,Receiving
Patrick Smith,MTSU,2018,57,565,9.91,6,Receiving
Anthony Johnson,BUFF,2018,57,"1,011",17.74,11,Receiving
Trevon Bradford,ORST,2018,56,649,11.59,6,Receiving
Josh Oliver,SJSU,2018,56,709,12.66,4,Receiving
Kahlil Lewis,CINN,2018,56,782,13.96,9,Receiving
Jayden Reed,WMU,2018,56,797,14.23,8,Receiving
Damion Willis,TROY,2018,56,876,15.64,10,Receiving
Isaiah Harper,ODU,2018,55,479,8.71,1,Receiving
Andre Baccellia,WASH,2018,55,584,10.62,0,Receiving
Jared Rice,FRES,2018,55,664,12.07,3,Receiving
Denzel Mims,BAY,2018,55,794,14.44,8,Receiving
Bryan Edwards,SCAR,2018,55,846,15.38,7,Receiving
Amari Rodgers,CLEM,2018,54,570,10.56,4,Receiving
Jauan Wesley,NIU,2018,54,619,11.46,2,Receiving
Freddie Barnes,BGSU,2009,155,"1,770",11.42,19,Receiving
Jordan Shipley,TEX,2009,116,"1,485",12.8,13,Receiving
Danario Alexander,MIZZ,2009,113,"1,781",15.76,14,Receiving
Antonio Brown,CMU,2009,110,"1,198",10.89,9,Receiving
Greg Salas,HAW,2009,106,"1,590",15.0,8,Receiving
James Cleveland,HOU,2009,104,"1,214",11.67,14,Receiving
Kerry Meier,KAN,2009,102,985,9.66,8,Receiving
Emmanuel Sanders,SMU,2009,98,"1,339",13.66,7,Receiving
Golden Tate,ND,2009,93,"1,496",16.09,15,Receiving
Zeke Markshausen,NW,2009,91,858,9.43,3,Receiving
Tyron Carrier,HOU,2009,91,"1,029",11.31,7,Receiving
James Rodgers,ORST,2009,91,"1,034",11.36,9,Receiving
Keith Smith,PUR,2009,91,"1,100",12.09,6,Receiving
Ryan Broyles,OKLA,2009,89,"1,120",12.58,15,Receiving
Marshwan Gilyard,CINN,2009,87,"1,191",13.69,11,Receiving
Patrick Edwards,HOU,2009,85,"1,021",12.01,6,Receiving
Jeremy Williams,TULN,2009,84,"1,113",13.25,7,Receiving
Dezmon Briscoe,KAN,2009,84,"1,337",15.92,9,Receiving
Dwayne Harris,ECU,2009,83,978,11.78,7,Receiving
Eric Page,TOL,2009,82,"1,159",14.13,7,Receiving
David Reed,UTAH,2009,81,"1,188",14.67,5,Receiving
Titus Young,BSU,2009,79,"1,041",13.18,10,Receiving
Stephen Williams,TOL,2009,79,"1,065",13.48,5,Receiving
Jacquizz Rodgers,ORST,2009,78,522,6.69,1,Receiving
Damaris Johnson,TULS,2009,78,"1,131",14.5,3,Receiving
David Leonard,WYO,2009,77,705,9.16,3,Receiving
Tandon Doss,IND,2009,77,962,12.49,5,Receiving
Scotty McKnight,COL,2009,76,893,11.75,6,Receiving
Ryan Wolfe,UNLV,2009,74,760,10.27,2,Receiving
Jock Sanders,WVU,2009,72,688,9.56,3,Receiving
Jamaal Jackson,UNT,2009,71,701,9.87,6,Receiving
Jerrel Jernigan,TROY,2009,71,"1,101",15.51,4,Receiving
Charles Sims,HOU,2009,70,759,10.84,1,Receiving
Naaman Roosevelt,BUFF,2009,70,954,13.63,9,Receiving
Blair White,MSU,2009,70,990,14.14,9,Receiving
Damian Williams,USC,2009,70,"1,010",14.43,6,Receiving
Shay Hodge,MISS,2009,70,"1,135",16.21,8,Receiving
Aaron Hernandez,FLA,2009,68,850,12.5,5,Receiving
Duke Calhoun,MEM,2009,68,923,13.57,5,Receiving
Armand Robinson,MIOH,2009,67,788,11.76,4,Receiving
Alex Torres,TTU,2009,67,806,12.03,6,Receiving
Kealoha Pilares,HAW,2009,66,690,10.45,4,Receiving
Kendall Wright,BAY,2009,66,740,11.21,4,Receiving
Detron Lewis,TTU,2009,65,844,12.98,6,Receiving
Donovan Varner,DUKE,2009,65,"1,047",16.11,8,Receiving
Bryan Anderson,CMU,2009,64,784,12.25,7,Receiving
Brett Hamlin,BUFF,2009,64,898,14.03,2,Receiving
Austin Pettis,BSU,2009,63,855,13.57,14,Receiving
Max Komar,IDHO,2009,63,"1,052",16.7,11,Receiving
Greg Little,UNC,2009,62,724,11.68,5,Receiving
Dennis Pitta,BYU,2009,62,829,13.37,8,Receiving
DeMarco Sampson,SDSU,2009,62,851,13.73,8,Receiving
Devon Brown,WF,2009,61,671,11.0,6,Receiving
Rod Owens,FSU,2009,61,729,11.95,3,Receiving
Damarlo Belcher,IND,2009,61,770,12.62,5,Receiving
Torrey Smith,MD,2009,61,824,13.51,5,Receiving
Armon Binns,CINN,2009,61,888,14.56,11,Receiving
Toren Dixon,RICE,2009,60,660,11.0,6,Receiving
Bert Reed,FSU,2009,60,710,11.83,0,Receiving
Antavious Wilson,MRSH,2009,60,724,12.07,3,Receiving
Kevin Jurovich,SJSU,2009,60,777,12.95,1,Receiving
DeVier Posey,OSU,2009,60,828,13.8,8,Receiving
Marshall Williams,WF,2009,60,867,14.45,6,Receiving
Rich Gunnell,BC,2009,60,880,14.67,7,Receiving
Darvin Adams,AUB,2009,60,997,16.62,10,Receiving
Robert Arnheim,WMU,2009,59,701,11.88,3,Receiving
Phillip Payne,UNLV,2009,58,661,11.4,7,Receiving
Baron Batch,TTU,2009,57,395,6.93,1,Receiving
Darius Carey,UNT,2009,57,509,8.93,4,Receiving
T.Y. Hilton,FIU,2009,57,632,11.09,5,Receiving
Chris McGaha,AZST,2009,57,690,12.11,4,Receiving
Brandon LaFell,LSU,2009,57,792,13.89,11,Receiving
Damola Adeniji,ORST,2009,57,807,14.16,5,Receiving
Kyle Williams,AZST,2009,57,815,14.3,8,Receiving
Andrew Brewer,NW,2009,57,925,16.23,9,Receiving
Ryan Whalen,STAN,2009,57,926,16.25,4,Receiving
Jonathan Baldwin,PITT,2009,57,"1,111",19.49,8,Receiving
Jereme Brooks,UTAH,2009,56,696,12.43,7,Receiving
Brandon Banks,KSST,2009,56,705,12.59,1,Receiving
Jacoby Ford,CLEM,2009,56,779,13.91,6,Receiving
Taylor Price,OHIO,2009,56,784,14.0,5,Receiving
Tramain Swindall,TTU,2009,55,694,12.62,5,Receiving
Conner Vernon,DUKE,2009,55,746,13.56,3,Receiving
Tim Brown,RUT,2009,55,"1,150",20.91,9,Receiving
Jamal Rogers,MIOH,2009,54,505,9.35,3,Receiving
Aaron Valentin,PUR,2009,54,621,11.5,7,Receiving
Austin Kelly,DUKE,2009,54,625,11.57,4,Receiving
Nick Toon,WISC,2009,54,805,14.91,4,Receiving
Kito Poblah,CMU,2009,53,681,12.85,4,Receiving
Jordan White,WMU,2009,53,681,12.85,4,Receiving
Jeffrey Maehl,ORE,2009,53,696,13.13,6,Receiving
LaVon Brazill,OHIO,2009,53,702,13.25,6,Receiving
Scott Long,LOU,2009,53,727,13.72,2,Receiving
Brandon Wimberly,NEV,2009,53,733,13.83,6,Receiving
Terrence Toliver,LSU,2009,53,735,13.87,3,Receiving
Tyshon Goode,KENT,2009,53,755,14.25,5,Receiving
A.J. Green,UGA,2009,53,808,15.25,6,Receiving
Jeff Moturi,UTEP,2009,53,974,18.38,4,Receiving
David Gettis,BAY,2009,52,675,12.98,3,Receiving
Briggs Orsbon,BALL,2009,51,461,9.04,1,Receiving
Ryan Broyles,OKLA,2010,131,"1,622",12.38,14,Receiving
Greg Salas,HAW,2010,119,"1,889",15.87,14,Receiving
Justin Blackmon,OKST,2010,111,"1,782",16.05,20,Receiving
Dwayne Harris,ECU,2010,101,"1,123",11.12,10,Receiving
Eric Page,TOL,2010,99,"1,105",11.16,8,Receiving
Kamar Jorden,BGSU,2010,96,"1,109",11.55,4,Receiving
Armand Robinson,MIOH,2010,94,"1,062",11.3,6,Receiving
Jordan White,WMU,2010,94,"1,378",14.66,10,Receiving
T.J. Moe,MIZZ,2010,92,"1,045",11.36,6,Receiving
Juan Nunez,WMU,2010,91,"1,032",11.34,10,Receiving
Michael Egnew,MIZZ,2010,90,762,8.47,5,Receiving
Lance Lewis,ECU,2010,89,"1,116",12.54,14,Receiving
Kealoha Pilares,HAW,2010,88,"1,306",14.84,15,Receiving
Alshon Jeffery,SCAR,2010,88,"1,517",17.24,9,Receiving
Detron Lewis,TTU,2010,87,852,9.79,6,Receiving
Cole Beasley,SMU,2010,87,"1,060",12.18,6,Receiving
Jerrel Jernigan,TROY,2010,84,822,9.79,6,Receiving
Randall Cobb,KY,2010,84,"1,017",12.11,7,Receiving
Cody Wilson,CMU,2010,83,"1,137",13.7,5,Receiving
Juron Criner,ARIZ,2010,82,"1,233",15.04,11,Receiving
Michael Floyd,ND,2010,79,"1,025",12.97,12,Receiving
Damarlo Belcher,IND,2010,78,832,10.67,4,Receiving
Darius Johnson,SMU,2010,78,845,10.83,6,Receiving
Kendall Wright,BAY,2010,78,952,12.21,7,Receiving
Julio Jones,ALA,2010,78,"1,133",14.53,7,Receiving
Jeffrey Maehl,ORE,2010,77,"1,076",13.97,12,Receiving
Armon Binns,CINN,2010,75,"1,101",14.68,10,Receiving
Lyle Leong,TTU,2010,74,926,12.51,19,Receiving
Conner Vernon,DUKE,2010,73,973,13.33,4,Receiving
Ryan Swope,TAMU,2010,72,825,11.46,4,Receiving
Roy Roundtree,MICH,2010,72,935,12.99,7,Receiving
Jeff Fuller,TAMU,2010,72,"1,066",14.81,12,Receiving
Leonard Hankerson,MIA,2010,72,"1,156",16.06,13,Receiving
DeMarco Murray,OKLA,2010,71,594,8.37,5,Receiving
Austin Pettis,BSU,2010,71,951,13.39,10,Receiving
Patrick Edwards,HOU,2010,71,"1,100",15.49,13,Receiving
Titus Young,BSU,2010,71,"1,215",17.11,9,Receiving
Jock Sanders,WVU,2010,69,728,10.55,4,Receiving
Dwayne Frampton,ARST,2010,69,738,10.7,6,Receiving
Vincent Brown,SDSU,2010,69,"1,352",19.59,10,Receiving
Josh Cooper,OKST,2010,68,736,10.82,5,Receiving
Terrance Turner,IND,2010,67,681,10.16,3,Receiving
Torrey Smith,MD,2010,67,"1,055",15.75,12,Receiving
DeMarco Sampson,SDSU,2010,67,"1,220",18.21,8,Receiving
Luther Ambrose,ULM,2010,65,752,11.57,6,Receiving
Robert Woods,USC,2010,65,792,12.18,6,Receiving
Aldrick Robinson,SMU,2010,65,"1,301",20.02,14,Receiving
Ronald Johnson,USC,2010,64,692,10.81,8,Receiving
Nick Harwell,MIOH,2010,64,871,13.61,6,Receiving
Royce Pollard,HAW,2010,64,901,14.08,7,Receiving
Lester Jean,FAU,2010,64,988,15.44,8,Receiving
Tandon Doss,IND,2010,63,706,11.21,7,Receiving
Jermaine Kearse,WASH,2010,63,"1,005",15.95,12,Receiving
Jared Karstetter,WSU,2010,62,658,10.61,7,Receiving
Dwight Jones,UNC,2010,62,946,15.26,4,Receiving
Jeremy Ebert,NW,2010,62,953,15.37,8,Receiving
Kenny Stills,OKLA,2010,61,786,12.89,5,Receiving
Chris Matthews,KY,2010,61,925,15.16,9,Receiving
Daymond Patterson,KAN,2010,60,487,8.12,2,Receiving
Donovan Varner,DUKE,2010,60,736,12.27,1,Receiving
Jalal Beauchman,SJSU,2010,60,835,13.92,6,Receiving
Owen Spencer,NCST,2010,60,912,15.2,4,Receiving
Tyshon Goode,KENT,2010,59,743,12.59,5,Receiving
T.Y. Hilton,FIU,2010,59,848,14.37,5,Receiving
Bert Reed,FSU,2010,58,614,10.59,2,Receiving
Tavon Austin,WVU,2010,58,787,13.57,8,Receiving
Kris Burd,UVA,2010,58,799,13.78,5,Receiving
Doug Baldwin,STAN,2010,58,857,14.78,9,Receiving
James Cleveland,HOU,2010,57,800,14.04,6,Receiving
A.J. Green,UGA,2010,57,848,14.88,9,Receiving
Damaris Johnson,TULS,2010,57,872,15.3,4,Receiving
D.J. Woods,CINN,2010,57,898,15.75,8,Receiving
Jeremy Kerley,TCU,2010,56,575,10.27,10,Receiving
Sam Kirkland,KENT,2010,56,599,10.7,1,Receiving
Casey Robottom,TULN,2010,56,663,11.84,4,Receiving
A.J. Jenkins,ILL,2010,56,746,13.32,7,Receiving
Noel Grigsby,SJSU,2010,56,822,14.68,4,Receiving
Rishard Matthews,NEV,2010,56,879,15.7,5,Receiving
Gerald Jones,TENN,2010,55,596,10.84,4,Receiving
Markus Wheaton,ORST,2010,55,675,12.27,4,Receiving
Dane Sanzenbacher,OSU,2010,55,948,17.24,11,Receiving
Marquess Wilson,WSU,2010,55,"1,006",18.29,6,Receiving
Chandler Jones,SJSU,2010,54,474,8.78,1,Receiving
Collin Franklin,IAST,2010,54,530,9.81,3,Receiving
D.J. Williams,ARK,2010,54,627,11.61,4,Receiving
Kerry Taylor,AZST,2010,54,699,12.94,3,Receiving
Jamel Hamler,FRES,2010,54,812,15.04,6,Receiving
Tyron Carrier,HOU,2010,53,480,9.06,1,Receiving
Jonathan Baldwin,PITT,2010,53,822,15.51,5,Receiving
Jarrett Boykin,VT,2010,53,847,15.98,6,Receiving
DeVier Posey,OSU,2010,53,848,16.0,7,Receiving
Marvin McNutt,IOWA,2010,53,861,16.25,8,Receiving
Derek Moye,PSU,2010,53,885,16.7,8,Receiving
John Williams,ECU,2010,52,431,8.29,1,Receiving
David Douglas,ARIZ,2010,52,515,9.9,5,Receiving
Tebiarus Gill,TROY,2010,52,578,11.12,6,Receiving
DeAndre Hopkins,CLEM,2010,52,637,12.25,4,Receiving
James Kirkendoll,TEX,2010,52,707,13.6,2,Receiving
Jarvis Williams,NCST,2010,52,713,13.71,5,Receiving
Darvin Adams,AUB,2010,52,963,18.52,7,Receiving
Jordan White,WMU,2011,140,"1,911",13.65,17,Receiving
Eric Page,TOL,2011,125,"1,182",9.46,10,Receiving
Justin Blackmon,OKST,2011,121,"1,522",12.58,18,Receiving
Mohamed Sanu,RUT,2011,115,"1,206",10.49,7,Receiving
Robert Woods,USC,2011,111,"1,292",11.64,15,Receiving
Kendall Wright,BAY,2011,108,"1,663",15.4,14,Receiving
Tavon Austin,WVU,2011,101,"1,186",11.74,8,Receiving
Michael Floyd,ND,2011,100,"1,147",11.47,9,Receiving
Keenan Allen,CAL,2011,98,"1,343",13.7,6,Receiving
Nick Harwell,MIOH,2011,97,"1,425",14.69,9,Receiving
Tyron Carrier,HOU,2011,96,958,9.98,5,Receiving
Dwayne Frampton,ARST,2011,94,"1,156",12.3,6,Receiving
Rishard Matthews,NEV,2011,91,"1,364",14.99,8,Receiving
A.J. Jenkins,ILL,2011,90,"1,276",14.18,8,Receiving
Noel Grigsby,SJSU,2011,89,886,9.96,2,Receiving
Ryan Swope,TAMU,2011,89,"1,207",13.56,11,Receiving
Patrick Edwards,HOU,2011,89,"1,752",19.69,20,Receiving
Justin Johnson,HOU,2011,87,"1,229",14.13,12,Receiving
Cole Beasley,SMU,2011,86,"1,040",12.09,2,Receiving
Dwight Jones,UNC,2011,85,"1,196",14.07,12,Receiving
Eric Ward,TTU,2011,84,800,9.52,11,Receiving
Ryan Broyles,OKLA,2011,83,"1,157",13.94,10,Receiving
Chris Givens,WF,2011,83,"1,330",16.02,9,Receiving
Sammy Watkins,CLEM,2011,82,"1,219",14.87,12,Receiving
Marvin McNutt,IOWA,2011,82,"1,315",16.04,12,Receiving
Marquess Wilson,WSU,2011,82,"1,388",16.93,12,Receiving
Darius Johnson,SMU,2011,79,"1,118",14.15,8,Receiving
Quinton Patton,LT,2011,79,"1,202",15.22,11,Receiving
B.J. Cunningham,MSU,2011,79,"1,306",16.53,12,Receiving
Billy Ray Stutzmann,HAW,2011,78,910,11.67,4,Receiving
Kamar Jorden,BGSU,2011,78,"1,089",13.96,12,Receiving
Gerell Robinson,AZST,2011,77,"1,397",18.14,7,Receiving
Juron Criner,ARIZ,2011,75,956,12.75,11,Receiving
Jeremy Ebert,NW,2011,75,"1,060",14.13,11,Receiving
Michael Campanaro,WF,2011,73,833,11.41,2,Receiving
Markus Wheaton,ORST,2011,73,986,13.51,1,Receiving
Marqise Lee,USC,2011,73,"1,143",15.66,11,Receiving
DeAndre Hopkins,CLEM,2011,72,978,13.58,5,Receiving
T.Y. Hilton,FIU,2011,72,"1,038",14.42,7,Receiving
LaVon Brazill,OHIO,2011,72,"1,150",15.97,11,Receiving
Stedman Bailey,WVU,2011,72,"1,279",17.76,12,Receiving
Josh Cooper,OKST,2011,71,715,10.07,3,Receiving
Royce Pollard,HAW,2011,71,"1,011",14.24,8,Receiving
Tannar Rehrer,MEM,2011,70,593,8.47,4,Receiving
Jeff Fuller,TAMU,2011,70,828,11.83,6,Receiving
Conner Vernon,DUKE,2011,70,956,13.66,6,Receiving
Brent Leonard,ULM,2011,69,751,10.88,4,Receiving
Alec Lemon,SYR,2011,68,834,12.26,6,Receiving
Eugene Cooper,BGSU,2011,67,808,12.06,9,Receiving
Chleb Ravenell,WMU,2011,67,839,12.52,9,Receiving
Eric Thomas,TROY,2011,67,875,13.06,9,Receiving
Da'Rick Rogers,TENN,2011,67,"1,040",15.52,9,Receiving
Briggs Orsbon,BALL,2011,66,649,9.83,4,Receiving
Keshawn Martin,MSU,2011,66,777,11.77,4,Receiving
Kris Burd,UVA,2011,66,913,13.83,3,Receiving
Jarius Wright,ARK,2011,66,"1,117",16.92,12,Receiving
Gino Crump,ARIZ,2011,65,610,9.38,2,Receiving
David Douglas,ARIZ,2011,65,666,10.25,4,Receiving
Jeremiah Ostrowski,HAW,2011,65,687,10.57,5,Receiving
Justin Hardy,ECU,2011,64,658,10.28,6,Receiving
Nick Toon,WISC,2011,64,926,14.47,10,Receiving
Nelson Rosario,UCLA,2011,64,"1,161",18.14,5,Receiving
Tyler Eifert,ND,2011,63,803,12.75,5,Receiving
Javone Lawson,ULL,2011,63,"1,092",17.33,8,Receiving
Matt Miller,BSU,2011,62,679,10.95,9,Receiving
Robert Arnheim,WMU,2011,62,702,11.32,4,Receiving
Marvin Jones,CAL,2011,62,846,13.65,3,Receiving
Tyler Shoemaker,BSU,2011,62,994,16.03,16,Receiving
Chandler Jones,SJSU,2011,61,566,9.28,2,Receiving
Donovan Varner,DUKE,2011,61,713,11.69,3,Receiving
Jarrett Boykin,VT,2011,61,761,12.48,5,Receiving
Kenny Stills,OKLA,2011,61,849,13.92,8,Receiving
Willie Carter,TULS,2011,61,868,14.23,7,Receiving
Cody Hoffman,BYU,2011,61,943,15.46,10,Receiving
Josh Boyce,TCU,2011,61,998,16.36,9,Receiving
Jamal Miles,AZST,2011,60,361,6.02,6,Receiving
Lance Lewis,ECU,2011,60,600,10.0,8,Receiving
Marcus Rivers,BUFF,2011,60,615,10.25,2,Receiving
